Agent,Average_Score,Win_Percentage,Average_Score_Difference,Best_Partner,Best_Collective_Score,Average_Collective_Score,Cooperation_Rate
Tit-for-Tat Agent,200.0,0.0,0.0,Tit-for-Tat Agent,600,4.0,0.8028571428571428
Rhythmic Agent,48.57142857142857,42.857142857142854,-75.42857142857143,Q-Learning Agent,376,1.7257142857142858,0.67
Probabilistic Agent,75.14285714285714,42.857142857142854,-122.28571428571429,Prediction Agent,504,2.7257142857142855,0.7628571428571429
Prediction Agent,188.57142857142858,14.285714285714285,-36.57142857142857,Tit-for-Tat Agent,600,4.137142857142857,0.8757142857142857
Grudge Agent,206.0,57.14285714285714,268.57142857142856,Tit-for-Tat Agent,600,1.4342857142857144,0.46
ML Prediction Agent,8.0,71.42857142857143,82.28571428571429,Probabilistic Agent,76,-0.6628571428571428,0.42
Q-Learning Agent,98.0,28.57142857142857,-97.14285714285714,Prediction Agent,560,2.9314285714285715,0.7871428571428571
